# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
TTZToLLNuNu_M-10, 2016, 1, 9762, 1910862, 435
ttHTobb_M125, 2016, 1, 29336, 5867108, 346
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 184959, 532681524, 308
TTZToLLNuNu_M-10, 2016, 1, 12192, 2386484, 343
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 203334, 585601055, 447
TTZToLLNuNu_M-10, 2016, 1, 11149, 2182398, 324
TTZToLLNuNu_M-10, 2016, 1, 24443, 4784546, 316
TTZToLLNuNu_M-10, 2016, 1, 26431, 5173693, 471
ttHTobb_M125, 2016, 1, 37653, 7530449, 303
TTGJets, 2016, 1, 19964, 3234085, 314
TTZToLLNuNu_M-10, 2016, 1, 11159, 2184214, 467
TTZToLLNuNu_M-10, 2016, 1, 12224, 2392795, 316
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 486831, 1402072185, 324
TTWJetsToLNu, 2016, 1, 11427, 3542402, 331
ttHTobb_M125, 2016, 1, 41127, 8225334, 376
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 405699, 1038587403, 369
TTZToLLNuNu_M-10, 2016, 1, 13387, 2620343, 418
TTZToLLNuNu_M-10, 2016, 1, 13387, 2620361, 359
ttHTobb_M125, 2016, 1, 42215, 8442908, 474
TTZToLLNuNu_M-10, 2016, 1, 13534, 2649156, 348
TTZToLLNuNu_M-10, 2016, 1, 16131, 3157576, 351
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 395973, 1140400975, 347
TTZToLLNuNu_M-10, 2016, 1, 25978, 5085100, 363
TTZToLLNuNu_M-10, 2016, 1, 26352, 5158341, 321
TTZToLLNuNu_M-10, 2016, 1, 5447, 1066193, 398
ttHTobb_M125, 2016, 1, 38925, 7784847, 360
TTZToLLNuNu_M-10, 2016, 1, 18771, 3674410, 310
TTZToLLNuNu_M-10, 2016, 1, 21905, 4287896, 698
TTWJetsToLNu, 2016, 1, 4124, 1278424, 324
TTZToLLNuNu_M-10, 2016, 1, 15376, 3009734, 345
TTZToLLNuNu_M-10, 2016, 1, 15648, 3062945, 329
