# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
TTZToLLNuNu_M-10, 2017, 1, 6976, 5220302, 306
TTZToLLNuNu_M-10, 2017, 1, 7391, 5530711, 315
TTZToLLNuNu_M-10, 2017, 1, 7164, 5361041, 301
TTZToLLNuNu_M-10, 2017, 1, 7145, 5346740, 391
TTZToLLNuNu_M-10, 2017, 1, 9074, 6790557, 368
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 14465, 95147909, 324
ZJetsToNuNu_HT-400To600, 2017, 1, 4400, 37925041, 315
TTZToLLNuNu_M-10, 2017, 1, 9158, 6853679, 476
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 104436, 691778879, 311
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 108049, 715716555, 441
TTZToLLNuNu_M-10, 2017, 1, 7740, 5792046, 339
TTZToLLNuNu_M-10, 2017, 1, 7802, 5838545, 361
TTZToLLNuNu_M-10, 2017, 1, 34, 25318, 372
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 13523, 89571968, 351
ZJetsToNuNu_HT-800To1200, 2017, 1, 2227, 15659662, 635
TTZToLLNuNu_M-10, 2017, 1, 4390, 3284540, 529
TTZToLLNuNu_M-10, 2017, 1, 3006, 2249276, 310
TTJets_DiLept_genMET-150, 2017, 1, 95242, 573732277, 332
TTZToLLNuNu_M-10, 2017, 1, 5102, 3817759, 311
TTZToLLNuNu_M-10, 2017, 1, 5158, 3859666, 316
TTZToLLNuNu_M-10, 2017, 1, 391, 292085, 555
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 35295, 232169892, 325
TTZToLLNuNu_M-10, 2017, 1, 5270, 3943979, 303
TTZToLLNuNu_M-10, 2017, 1, 5225, 3910458, 374
TTZToLLNuNu_M-10, 2017, 1, 5234, 3917182, 309
ZJetsToNuNu_HT-400To600, 2017, 1, 4625, 39865231, 328
ZJetsToNuNu_HT-600To800, 2017, 1, 5321, 47936509, 322
TTJets_DiLept_genMET-150, 2017, 1, 88760, 534685969, 407
TTZToLLNuNu_M-10, 2017, 1, 2296, 1717796, 380
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 151790, 998469843, 304
TTZToLLNuNu_M-10, 2017, 1, 598, 447216, 481
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 155287, 1021473051, 351
TTZToLLNuNu_M-10, 2017, 1, 2327, 1741453, 399
ZJetsToNuNu_HT-400To600, 2017, 1, 7206, 62113258, 446
TTZToLLNuNu_M-10, 2017, 1, 6733, 5037813, 363
TTZToLLNuNu_M-10, 2017, 1, 1157, 865409, 320
TTZToLLNuNu_M-10, 2017, 1, 1328, 993479, 463
TTZToLLNuNu_M-10, 2017, 1, 2125, 1590196, 442
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 87015, 572382248, 313
TTZToLLNuNu_M-10, 2017, 1, 1559, 1166640, 470
TTJets_DiLept_genMET-150, 2017, 1, 11806, 71117909, 324
TTZToLLNuNu_M-10, 2017, 1, 6703, 5016061, 308
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 22174, 146877195, 370
TTZToLLNuNu_M-10, 2017, 1, 3926, 2937956, 433
ZJetsToNuNu_HT-600To800, 2017, 1, 5006, 45095670, 512
TTZToLLNuNu_M-10, 2017, 1, 3081, 2305495, 580
TTZToLLNuNu_M-10, 2017, 1, 3416, 2556452, 335
TTZToLLNuNu_M-10, 2017, 1, 4281, 3203491, 386
TTZToLLNuNu_M-10, 2017, 1, 7549, 5648976, 378
TTZToLLNuNu_M-10, 2017, 1, 9610, 7191059, 382
TTZToLLNuNu_M-10, 2017, 1, 4399, 3291759, 463
TTZToLLNuNu_M-10, 2017, 1, 4315, 3228410, 316
TTZToLLNuNu_M-10, 2017, 1, 4561, 3413336, 455
ZJetsToNuNu_HT-600To800, 2017, 1, 4555, 41033203, 319
ZJetsToNuNu_HT-600To800, 2017, 1, 4629, 41695355, 624
TTZToLLNuNu_M-10, 2017, 1, 6653, 4978401, 533
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 143177, 948401639, 388
TTZToLLNuNu_M-10, 2017, 1, 7901, 5913065, 521
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 87519, 575697080, 338
TTZToLLNuNu_M-10, 2017, 1, 9053, 6775062, 363
TTJets_DiLept_genMET-150, 2017, 1, 34465, 207614454, 351
TTZToLLNuNu_M-10, 2017, 1, 9166, 6858480, 335
TTZToLLNuNu_M-10, 2017, 1, 776, 580265, 302
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 141270, 929271251, 325
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 147947, 973194580, 314
