#mNLSP mLSP boostEff resEff totalEff   bin1Eff   bin2Eff   bin3Eff   bin4Eff   bin5Eff   bin6Eff   bin7Eff   bin8Eff   bin9Eff  bin10Eff  bin11Eff  bin12Eff  bin13Eff  bin14Eff  bin15Eff  bin16Eff  bin17Eff  bin18Eff  bin19Eff  bin20Eff  bin21Eff  bin22Eff
450 275 0.0001756 0.0097268 0.0099023 0.0002394 0.0001845 0.0000184 0.0000013 0.0006803 0.0004907 0.0000711 0.0000430 0.0012724 0.0011431 0.0002259 0.0000616 0.0025287 0.0022969 0.0004019 0.0000676 0.0000822 0.0000107 0.0000048 0.0000772 0.0000007 0.0000000
450 300 0.0000694 0.0033478 0.0034172 0.0000566 0.0000483 0.0000033 0.0000000 0.0001683 0.0002012 0.0000303 0.0000181 0.0005367 0.0003649 0.0000500 0.0000064 0.0010207 0.0006602 0.0001352 0.0000477 0.0000360 0.0000030 0.0000046 0.0000194 0.0000000 0.0000066
450 325 0.0000542 0.0008404 0.0008946 0.0000236 0.0000078 0.0000000 0.0000034 0.0000457 0.0000412 0.0000165 0.0000197 0.0001206 0.0001189 0.0000140 0.0000000 0.0001847 0.0001725 0.0000605 0.0000112 0.0000332 0.0000000 0.0000091 0.0000118 0.0000000 0.0000000
450 50 0.0052773 0.0477766 0.0530539 0.0007038 0.0020286 0.0015733 0.0004416 0.0023056 0.0062941 0.0040630 0.0012184 0.0008990 0.0033691 0.0033626 0.0015248 0.0019339 0.0075752 0.0075054 0.0029782 0.0012623 0.0001831 0.0000207 0.0033237 0.0003752 0.0001123
475 300 0.0002301 0.0097820 0.0100121 0.0002753 0.0002145 0.0000141 0.0000000 0.0006589 0.0006227 0.0000978 0.0000244 0.0011500 0.0012144 0.0001835 0.0000393 0.0024653 0.0023066 0.0004044 0.0001108 0.0001122 0.0000251 0.0000095 0.0000763 0.0000069 0.0000000
475 325 0.0001015 0.0033362 0.0034377 0.0000720 0.0000179 0.0000022 0.0000022 0.0001856 0.0001938 0.0000381 0.0000241 0.0005090 0.0003702 0.0000535 0.0000213 0.0009084 0.0007993 0.0001016 0.0000372 0.0000567 0.0000199 0.0000000 0.0000220 0.0000029 0.0000000
475 350 0.0000292 0.0008674 0.0008966 0.0000166 0.0000298 0.0000000 0.0000000 0.0000325 0.0000403 0.0000179 0.0000100 0.0001032 0.0001154 0.0000352 0.0000078 0.0001884 0.0001820 0.0000560 0.0000325 0.0000159 0.0000000 0.0000058 0.0000075 0.0000000 0.0000000
500 100 0.0074269 0.0538636 0.0612905 0.0007067 0.0022407 0.0017211 0.0008256 0.0020554 0.0066686 0.0055815 0.0024111 0.0008121 0.0029115 0.0033349 0.0020811 0.0018046 0.0070246 0.0083617 0.0053224 0.0015911 0.0002900 0.0000640 0.0047450 0.0006535 0.0000833
500 150 0.0058067 0.0497405 0.0555472 0.0007291 0.0019212 0.0014708 0.0005122 0.0024287 0.0067480 0.0044475 0.0012087 0.0008873 0.0034444 0.0031882 0.0013762 0.0019539 0.0079929 0.0077186 0.0037127 0.0013219 0.0002798 0.0000404 0.0036934 0.0004137 0.0000575
500 200 0.0032321 0.0432791 0.0465112 0.0006692 0.0016193 0.0009716 0.0002713 0.0021910 0.0055562 0.0030472 0.0007336 0.0010186 0.0039468 0.0031005 0.0008807 0.0021422 0.0082347 0.0068625 0.0020338 0.0008063 0.0001415 0.0000251 0.0021023 0.0001397 0.0000171
500 250 0.0015584 0.0335641 0.0351225 0.0006013 0.0014199 0.0003509 0.0000603 0.0018677 0.0042978 0.0012006 0.0002273 0.0013693 0.0039455 0.0016737 0.0003128 0.0028306 0.0089929 0.0036535 0.0007600 0.0004592 0.0001168 0.0000189 0.0008973 0.0000535 0.0000127
500 300 0.0004414 0.0179406 0.0183819 0.0003744 0.0004147 0.0000950 0.0000195 0.0012567 0.0015642 0.0002211 0.0000439 0.0014330 0.0024739 0.0005228 0.0000964 0.0031836 0.0050296 0.0008678 0.0003439 0.0001685 0.0000524 0.0000069 0.0002005 0.0000131 0.0000000
500 325 0.0001630 0.0104037 0.0105668 0.0002799 0.0001852 0.0000431 0.0000050 0.0006838 0.0004578 0.0000951 0.0000626 0.0011891 0.0013022 0.0002058 0.0000438 0.0026264 0.0025920 0.0004633 0.0001687 0.0000975 0.0000047 0.0000000 0.0000593 0.0000015 0.0000000
500 350 0.0000935 0.0036712 0.0037647 0.0000743 0.0000750 0.0000174 0.0000289 0.0002026 0.0001248 0.0000285 0.0000091 0.0006215 0.0004256 0.0000507 0.0000070 0.0010009 0.0007815 0.0001957 0.0000276 0.0000375 0.0000055 0.0000044 0.0000462 0.0000000 0.0000000
500 375 0.0000389 0.0009784 0.0010173 0.0000089 0.0000161 0.0000027 0.0000000 0.0000619 0.0000611 0.0000314 0.0000353 0.0001506 0.0000795 0.0000225 0.0000131 0.0001805 0.0002173 0.0000614 0.0000363 0.0000240 0.0000000 0.0000051 0.0000098 0.0000000 0.0000000
500 50 0.0094201 0.0569294 0.0663495 0.0008664 0.0020955 0.0018883 0.0011577 0.0023994 0.0067364 0.0060278 0.0033117 0.0006530 0.0029720 0.0033995 0.0027104 0.0016798 0.0068269 0.0079725 0.0062319 0.0022231 0.0003089 0.0000782 0.0057714 0.0008700 0.0001685
525 350 0.0002453 0.0099787 0.0102239 0.0002326 0.0002088 0.0000431 0.0000105 0.0006521 0.0005618 0.0000618 0.0000270 0.0013170 0.0012197 0.0001922 0.0000525 0.0025869 0.0022772 0.0004106 0.0001250 0.0001090 0.0000200 0.0000000 0.0001027 0.0000136 0.0000000
525 375 0.0001136 0.0036903 0.0038039 0.0000962 0.0000411 0.0000000 0.0000000 0.0001959 0.0001711 0.0000277 0.0000292 0.0005915 0.0004464 0.0000707 0.0000337 0.0010705 0.0007088 0.0001531 0.0000544 0.0000332 0.0000309 0.0000059 0.0000436 0.0000000 0.0000000
525 400 0.0000132 0.0009744 0.0009875 0.0000047 0.0000076 0.0000043 0.0000000 0.0000353 0.0000300 0.0000459 0.0000054 0.0001317 0.0000901 0.0000275 0.0000103 0.0002586 0.0002109 0.0000606 0.0000515 0.0000005 0.0000104 0.0000000 0.0000023 0.0000000 0.0000000
550 100 0.0128297 0.0612051 0.0740348 0.0007105 0.0020990 0.0022855 0.0020150 0.0024250 0.0070300 0.0064816 0.0056539 0.0005461 0.0025077 0.0032496 0.0034202 0.0014622 0.0057914 0.0075840 0.0079434 0.0024723 0.0006623 0.0001684 0.0078203 0.0014434 0.0002630
550 150 0.0099524 0.0579117 0.0678641 0.0007920 0.0020811 0.0020068 0.0013345 0.0023543 0.0066930 0.0065734 0.0038453 0.0006203 0.0025434 0.0032396 0.0027387 0.0015098 0.0064927 0.0079878 0.0070990 0.0022015 0.0004759 0.0001380 0.0060344 0.0009152 0.0001875
550 200 0.0068871 0.0543051 0.0611922 0.0008478 0.0023389 0.0017476 0.0008386 0.0023599 0.0064983 0.0053600 0.0022311 0.0007144 0.0033349 0.0034807 0.0020664 0.0018514 0.0074920 0.0084399 0.0047032 0.0015071 0.0002630 0.0000541 0.0043258 0.0006415 0.0000957
550 250 0.0039253 0.0466375 0.0505629 0.0006951 0.0020202 0.0012972 0.0004258 0.0021492 0.0057518 0.0033999 0.0007981 0.0010149 0.0037611 0.0034341 0.0011104 0.0022878 0.0086683 0.0071686 0.0026549 0.0008932 0.0001830 0.0000467 0.0025281 0.0002551 0.0000191
550 300 0.0015454 0.0349991 0.0365445 0.0006078 0.0014451 0.0004966 0.0001026 0.0019123 0.0044347 0.0013454 0.0002551 0.0012340 0.0042189 0.0020011 0.0003614 0.0028527 0.0088042 0.0041017 0.0008255 0.0004877 0.0000912 0.0000107 0.0008921 0.0000512 0.0000124
550 350 0.0004928 0.0196638 0.0201566 0.0003734 0.0004659 0.0001331 0.0000181 0.0012153 0.0016775 0.0002890 0.0000935 0.0016040 0.0028727 0.0005481 0.0001499 0.0031788 0.0057858 0.0009488 0.0003099 0.0002168 0.0000377 0.0000068 0.0002140 0.0000175 0.0000000
550 375 0.0001909 0.0105263 0.0107172 0.0002481 0.0001645 0.0000181 0.0000041 0.0007373 0.0005531 0.0000966 0.0000395 0.0010813 0.0013891 0.0002246 0.0000481 0.0026911 0.0025415 0.0005563 0.0001329 0.0000726 0.0000090 0.0000191 0.0000901 0.0000000 0.0000000
550 400 0.0000828 0.0037149 0.0037977 0.0000504 0.0000525 0.0000067 0.0000066 0.0001620 0.0002030 0.0000241 0.0000231 0.0006829 0.0003559 0.0001027 0.0000147 0.0011370 0.0007136 0.0001316 0.0000479 0.0000597 0.0000084 0.0000051 0.0000096 0.0000000 0.0000000
550 425 0.0000456 0.0009548 0.0010004 0.0000075 0.0000147 0.0000075 0.0000058 0.0000448 0.0000149 0.0000189 0.0000042 0.0001594 0.0001301 0.0000296 0.0000174 0.0002475 0.0001864 0.0000447 0.0000213 0.0000197 0.0000073 0.0000051 0.0000135 0.0000000 0.0000000
550 50 0.0137477 0.0616819 0.0754296 0.0007970 0.0022093 0.0023110 0.0021486 0.0022843 0.0066501 0.0067453 0.0064343 0.0005001 0.0022358 0.0026503 0.0035319 0.0013399 0.0054868 0.0074410 0.0089162 0.0026188 0.0005632 0.0001143 0.0083339 0.0017605 0.0003571
575 400 0.0002435 0.0111095 0.0113530 0.0002480 0.0002157 0.0000455 0.0000199 0.0006803 0.0005984 0.0000741 0.0000192 0.0013502 0.0015009 0.0002565 0.0000437 0.0027766 0.0027232 0.0004062 0.0001513 0.0001117 0.0000208 0.0000139 0.0000902 0.0000069 0.0000000
575 425 0.0001041 0.0038711 0.0039751 0.0000544 0.0000409 0.0000001 0.0000000 0.0001714 0.0001711 0.0000111 0.0000228 0.0006241 0.0004961 0.0000513 0.0000183 0.0010744 0.0008479 0.0001905 0.0000970 0.0000645 0.0000083 0.0000062 0.0000201 0.0000049 0.0000000
575 450 0.0000340 0.0010813 0.0011153 0.0000092 0.0000044 0.0000033 0.0000041 0.0000438 0.0000241 0.0000101 0.0000069 0.0001725 0.0001890 0.0000308 0.0000158 0.0002471 0.0001709 0.0001085 0.0000408 0.0000125 0.0000000 0.0000000 0.0000215 0.0000000 0.0000000
600 100 0.0185634 0.0656186 0.0841819 0.0007257 0.0022629 0.0025202 0.0031474 0.0021859 0.0067451 0.0071722 0.0088476 0.0005195 0.0019046 0.0025877 0.0042743 0.0010988 0.0047481 0.0066718 0.0102067 0.0032571 0.0008776 0.0002005 0.0108674 0.0027772 0.0005836
600 150 0.0146580 0.0643547 0.0790127 0.0006917 0.0022282 0.0022255 0.0022924 0.0022168 0.0070749 0.0070975 0.0075376 0.0005973 0.0024287 0.0031553 0.0037365 0.0013256 0.0052804 0.0069293 0.0095370 0.0027500 0.0006686 0.0001750 0.0088531 0.0019055 0.0003058
600 200 0.0117840 0.0628269 0.0746109 0.0007977 0.0021435 0.0022655 0.0019803 0.0022473 0.0071096 0.0068136 0.0052776 0.0007113 0.0025769 0.0032037 0.0039244 0.0014816 0.0061897 0.0075720 0.0085323 0.0023388 0.0005505 0.0001444 0.0071650 0.0013457 0.0002396
600 250 0.0078787 0.0568816 0.0647603 0.0007545 0.0021729 0.0018550 0.0010016 0.0022502 0.0068028 0.0058305 0.0030240 0.0008414 0.0030985 0.0034671 0.0026000 0.0016346 0.0070383 0.0084964 0.0060138 0.0016549 0.0002064 0.0000977 0.0051533 0.0006932 0.0000731
600 300 0.0041092 0.0489589 0.0530682 0.0007201 0.0019931 0.0013268 0.0004232 0.0022914 0.0061649 0.0042459 0.0011018 0.0009064 0.0037718 0.0035214 0.0011695 0.0020949 0.0083333 0.0077275 0.0031669 0.0009812 0.0001750 0.0000603 0.0025945 0.0002727 0.0000255
600 350 0.0015937 0.0368561 0.0384499 0.0006817 0.0014051 0.0005000 0.0001423 0.0019032 0.0044811 0.0015491 0.0003308 0.0012639 0.0043082 0.0022150 0.0004532 0.0028704 0.0093282 0.0043856 0.0010384 0.0005089 0.0001376 0.0000195 0.0008521 0.0000705 0.0000051
600 400 0.0004698 0.0212623 0.0217321 0.0004390 0.0005917 0.0001150 0.0000174 0.0012213 0.0017982 0.0003339 0.0000881 0.0015355 0.0030579 0.0005201 0.0001113 0.0034312 0.0063292 0.0012979 0.0003746 0.0002090 0.0000442 0.0000051 0.0001954 0.0000161 0.0000000
