# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
TTJets_DiLept_genMET-150, 2017, 1, 51107, 307863829, 336
TTTT, 2017, 1, 1400, 909087, 317
TTWJetsToLNu, 2017, 1, 1033, 1164334, 309
TTZToLLNuNu_M-10, 2017, 1, 2972, 2223812, 339
TTJets_DiLept_genMET-150, 2017, 1, 28006, 168705043, 305
TTZToLLNuNu_M-10, 2017, 1, 2977, 2227103, 534
TTWJetsToLNu, 2017, 1, 1981, 2233256, 355
TTZToLLNuNu_M-10, 2017, 1, 3091, 2312484, 422
TTJets_DiLept_genMET-150, 2017, 1, 29828, 179683785, 336
TTZToLLNuNu_M-10, 2017, 1, 3269, 2446667, 415
TTZToLLNuNu_M-10, 2017, 1, 4132, 3091866, 330
TTZToLLNuNu_M-10, 2017, 1, 4132, 3092263, 340
TTZToLLNuNu_M-10, 2017, 1, 3565, 2667401, 493
TTZToLLNuNu_M-10, 2017, 1, 3640, 2723929, 422
TTZToLLNuNu_M-10, 2017, 1, 3701, 2769223, 342
TTWJetsToLNu, 2017, 1, 1469, 1655953, 440
TTZToLLNuNu_M-10, 2017, 1, 3766, 2817827, 335
TTZToLLNuNu_M-10, 2017, 1, 3547, 2653781, 340
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 74099, 487419166, 310
TTGJets, 2017, 1, 3636, 6151664, 307
TTZToLLNuNu_M-10, 2017, 1, 10651, 7969903, 323
TTZToLLNuNu_M-10, 2017, 1, 10651, 7970148, 442
ttHTobb_M125, 2017, 1, 3429, 3317917, 320
TTZToLLNuNu_M-10, 2017, 1, 10661, 7977567, 333
ttHTobb_M125, 2017, 1, 2928, 2832558, 374
TTZToQQ, 2017, 1, 1839, 3602909, 326
TTGJets, 2017, 1, 6228, 10537570, 307
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 23537, 155904527, 373
TTWJetsToLNu, 2017, 1, 2003, 2258225, 300
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 9743, 64537346, 317
TTGJets, 2017, 1, 4832, 8175250, 338
TTZToLLNuNu_M-10, 2017, 1, 3830, 2865987, 397
ttHTobb_M125, 2017, 1, 7123, 6892457, 356
TTGJets, 2017, 1, 8674, 14675425, 305
TTZToLLNuNu_M-10, 2017, 1, 6412, 4798402, 412
TTWJetsToLNu, 2017, 1, 1396, 1573669, 325
TTJets_DiLept_genMET-150, 2017, 1, 39300, 236738509, 309
TTZToQQ, 2017, 1, 2697, 4457003, 304
TTZToLLNuNu_M-10, 2017, 1, 6431, 4812726, 307
ttHTobb_M125, 2017, 1, 3502, 3388716, 494
TTJets_DiLept_genMET-150, 2017, 1, 40460, 243730479, 312
TTZToLLNuNu_M-10, 2017, 1, 7213, 5397170, 329
TTGJets, 2017, 1, 9939, 16815850, 306
TTZToLLNuNu_M-10, 2017, 1, 7213, 5397671, 321
TTZToLLNuNu_M-10, 2017, 1, 6539, 4892942, 328
TTZToQQ, 2017, 1, 6132, 7370429, 551
TTZToLLNuNu_M-10, 2017, 1, 6452, 4828601, 315
TTZToLLNuNu_M-10, 2017, 1, 7214, 5398906, 440
ttHTobb_M125, 2017, 1, 2975, 2878584, 321
TTZToQQ, 2017, 1, 7894, 9132266, 416
TTZToLLNuNu_M-10, 2017, 1, 10499, 7856595, 366
TTZToLLNuNu_M-10, 2017, 1, 10501, 7857556, 463
TTWJetsToLNu, 2017, 1, 1595, 1798057, 326
TTWJetsToLNu, 2017, 1, 1499, 1690485, 359
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 98761, 649649711, 375
TTZToLLNuNu_M-10, 2017, 1, 5641, 4221484, 331
ttHTobb_M125, 2017, 1, 8034, 7774063, 304
TTZToLLNuNu_M-10, 2017, 1, 5642, 4222378, 309
ttHTobb_M125, 2017, 1, 3004, 2906844, 348
TTGJets, 2017, 1, 196, 331537, 336
TTZToLLNuNu_M-10, 2017, 1, 4091, 3061569, 345
TTZToLLNuNu_M-10, 2017, 1, 4334, 3243049, 448
TTZToLLNuNu_M-10, 2017, 1, 4456, 3334746, 416
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 35095, 230849469, 326
TTZToLLNuNu_M-10, 2017, 1, 4457, 3335656, 432
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 36008, 236855936, 315
TTZToLLNuNu_M-10, 2017, 1, 4571, 3420644, 330
TTZToLLNuNu_M-10, 2017, 1, 4571, 3420735, 350
TTZToLLNuNu_M-10, 2017, 1, 4571, 3420866, 321
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 20818, 137898297, 406
TTZToLLNuNu_M-10, 2017, 1, 4586, 3431799, 369
TTZToLLNuNu_M-10, 2017, 1, 4586, 3431965, 351
